dataset,faiss_index,dataset_id,cluster
Android_2k_cleaned.csv,0,0,-1
Android_2k_cleaned.csv,1,0,-1
Android_2k_cleaned.csv,2,0,-1
Android_2k_cleaned.csv,3,0,-1
Android_2k_cleaned.csv,4,0,-1
Android_2k_cleaned.csv,5,0,-1
Android_2k_cleaned.csv,6,0,-1
Android_2k_cleaned.csv,7,0,-1
Android_2k_cleaned.csv,8,0,-1
Android_2k_cleaned.csv,9,0,-1
Android_2k_cleaned.csv,10,0,-1
Android_2k_cleaned.csv,11,0,-1
Android_2k_cleaned.csv,12,0,-1
Android_2k_cleaned.csv,13,0,-1
Android_2k_cleaned.csv,14,0,-1
Android_2k_cleaned.csv,15,0,-1
Android_2k_cleaned.csv,16,0,-1
Android_2k_cleaned.csv,17,0,5
Android_2k_cleaned.csv,18,0,23
Android_2k_cleaned.csv,19,0,21
Android_2k_cleaned.csv,20,0,20
Android_2k_cleaned.csv,21,0,-1
Android_2k_cleaned.csv,22,0,15
Android_2k_cleaned.csv,23,0,23
Android_2k_cleaned.csv,24,0,15
Android_2k_cleaned.csv,25,0,-1
Android_2k_cleaned.csv,26,0,-1
Android_2k_cleaned.csv,27,0,20
Android_2k_cleaned.csv,28,0,22
Android_2k_cleaned.csv,29,0,9
Android_2k_cleaned.csv,30,0,-1
Android_2k_cleaned.csv,31,0,-1
Android_2k_cleaned.csv,32,0,-1
Android_2k_cleaned.csv,33,0,-1
Android_2k_cleaned.csv,34,0,-1
Android_2k_cleaned.csv,35,0,9
Android_2k_cleaned.csv,36,0,-1
Android_2k_cleaned.csv,37,0,-1
Android_2k_cleaned.csv,38,0,-1
Android_2k_cleaned.csv,39,0,-1
Android_2k_cleaned.csv,40,0,9
Android_2k_cleaned.csv,41,0,9
Android_2k_cleaned.csv,42,0,9
Android_2k_cleaned.csv,43,0,9
Android_2k_cleaned.csv,44,0,9
Android_2k_cleaned.csv,45,0,9
Android_2k_cleaned.csv,46,0,4
Android_2k_cleaned.csv,47,0,4
Android_2k_cleaned.csv,48,0,4
Android_2k_cleaned.csv,49,0,4
Android_2k_cleaned.csv,50,0,-1
Android_2k_cleaned.csv,51,0,4
Android_2k_cleaned.csv,52,0,4
Android_2k_cleaned.csv,53,0,9
Android_2k_cleaned.csv,54,0,9
Android_2k_cleaned.csv,55,0,4
Android_2k_cleaned.csv,56,0,4
Android_2k_cleaned.csv,57,0,9
Android_2k_cleaned.csv,58,0,9
Android_2k_cleaned.csv,59,0,9
Android_2k_cleaned.csv,60,0,9
Android_2k_cleaned.csv,61,0,-1
Android_2k_cleaned.csv,62,0,9
Android_2k_cleaned.csv,63,0,4
Android_2k_cleaned.csv,64,0,4
Android_2k_cleaned.csv,65,0,-1
Android_2k_cleaned.csv,66,0,10
Android_2k_cleaned.csv,67,0,8
Android_2k_cleaned.csv,68,0,1
Android_2k_cleaned.csv,69,0,2
Android_2k_cleaned.csv,70,0,0
Android_2k_cleaned.csv,71,0,22
Android_2k_cleaned.csv,72,0,10
Android_2k_cleaned.csv,73,0,-1
Android_2k_cleaned.csv,74,0,-1
Android_2k_cleaned.csv,75,0,-1
Android_2k_cleaned.csv,76,0,22
Android_2k_cleaned.csv,77,0,10
Android_2k_cleaned.csv,78,0,23
Android_2k_cleaned.csv,79,0,-1
Android_2k_cleaned.csv,80,0,-1
Android_2k_cleaned.csv,81,0,-1
Android_2k_cleaned.csv,82,0,-1
Android_2k_cleaned.csv,83,0,9
Android_2k_cleaned.csv,84,0,8
Android_2k_cleaned.csv,85,0,-1
Android_2k_cleaned.csv,86,0,15
Android_2k_cleaned.csv,87,0,23
Android_2k_cleaned.csv,88,0,15
Android_2k_cleaned.csv,89,0,-1
Android_2k_cleaned.csv,90,0,-1
Android_2k_cleaned.csv,91,0,-1
Android_2k_cleaned.csv,92,0,20
Android_2k_cleaned.csv,93,0,10
Android_2k_cleaned.csv,94,0,8
Android_2k_cleaned.csv,95,0,15
Android_2k_cleaned.csv,96,0,23
Android_2k_cleaned.csv,97,0,15
Android_2k_cleaned.csv,98,0,22
Android_2k_cleaned.csv,99,0,10
Android_2k_cleaned.csv,100,0,-1
Android_2k_cleaned.csv,101,0,-1
Android_2k_cleaned.csv,102,0,-1
Android_2k_cleaned.csv,103,0,-1
Android_2k_cleaned.csv,104,0,-1
Android_2k_cleaned.csv,105,0,-1
Android_2k_cleaned.csv,106,0,-1
Android_2k_cleaned.csv,107,0,11
Android_2k_cleaned.csv,108,0,11
Android_2k_cleaned.csv,109,0,-1
Android_2k_cleaned.csv,110,0,11
Android_2k_cleaned.csv,111,0,11
Android_2k_cleaned.csv,112,0,-1
Android_2k_cleaned.csv,113,0,-1
Android_2k_cleaned.csv,114,0,5
Android_2k_cleaned.csv,115,0,23
Android_2k_cleaned.csv,116,0,21
Android_2k_cleaned.csv,117,0,15
Android_2k_cleaned.csv,118,0,15
Android_2k_cleaned.csv,119,0,-1
Android_2k_cleaned.csv,120,0,-1
Android_2k_cleaned.csv,121,0,-1
Android_2k_cleaned.csv,122,0,-1
Android_2k_cleaned.csv,123,0,-1
Android_2k_cleaned.csv,124,0,-1
Android_2k_cleaned.csv,125,0,-1
Android_2k_cleaned.csv,126,0,-1
Android_2k_cleaned.csv,127,0,5
Android_2k_cleaned.csv,128,0,23
Android_2k_cleaned.csv,129,0,-1
Android_2k_cleaned.csv,130,0,-1
Android_2k_cleaned.csv,131,0,-1
Android_2k_cleaned.csv,132,0,5
Android_2k_cleaned.csv,133,0,23
Android_2k_cleaned.csv,134,0,-1
Android_2k_cleaned.csv,135,0,-1
Android_2k_cleaned.csv,136,0,-1
Android_2k_cleaned.csv,137,0,5
Android_2k_cleaned.csv,138,0,23
Android_2k_cleaned.csv,139,0,-1
Android_2k_cleaned.csv,140,0,-1
Android_2k_cleaned.csv,141,0,-1
Android_2k_cleaned.csv,142,0,5
Android_2k_cleaned.csv,143,0,23
Android_2k_cleaned.csv,144,0,-1
Android_2k_cleaned.csv,145,0,-1
Android_2k_cleaned.csv,146,0,-1
Android_2k_cleaned.csv,147,0,5
Android_2k_cleaned.csv,148,0,23
Android_2k_cleaned.csv,149,0,-1
Android_2k_cleaned.csv,150,0,5
Android_2k_cleaned.csv,151,0,23
Android_2k_cleaned.csv,152,0,-1
Android_2k_cleaned.csv,153,0,5
Android_2k_cleaned.csv,154,0,23
Android_2k_cleaned.csv,155,0,-1
Android_2k_cleaned.csv,156,0,-1
Android_2k_cleaned.csv,157,0,-1
Android_2k_cleaned.csv,158,0,-1
Android_2k_cleaned.csv,159,0,-1
Android_2k_cleaned.csv,160,0,-1
Android_2k_cleaned.csv,161,0,5
Android_2k_cleaned.csv,162,0,23
Android_2k_cleaned.csv,163,0,5
Android_2k_cleaned.csv,164,0,23
Android_2k_cleaned.csv,165,0,5
Android_2k_cleaned.csv,166,0,23
Android_2k_cleaned.csv,167,0,5
Android_2k_cleaned.csv,168,0,23
Android_2k_cleaned.csv,169,0,5
Android_2k_cleaned.csv,170,0,23
Android_2k_cleaned.csv,171,0,5
Android_2k_cleaned.csv,172,0,23
Android_2k_cleaned.csv,173,0,5
Android_2k_cleaned.csv,174,0,23
Android_2k_cleaned.csv,175,0,5
Android_2k_cleaned.csv,176,0,23
Android_2k_cleaned.csv,177,0,5
Android_2k_cleaned.csv,178,0,23
Android_2k_cleaned.csv,179,0,5
Android_2k_cleaned.csv,180,0,23
Android_2k_cleaned.csv,181,0,5
Android_2k_cleaned.csv,182,0,23
Android_2k_cleaned.csv,183,0,5
Android_2k_cleaned.csv,184,0,23
Android_2k_cleaned.csv,185,0,5
Android_2k_cleaned.csv,186,0,23
Android_2k_cleaned.csv,187,0,5
Android_2k_cleaned.csv,188,0,23
Android_2k_cleaned.csv,189,0,5
Android_2k_cleaned.csv,190,0,23
Android_2k_cleaned.csv,191,0,-1
Android_2k_cleaned.csv,192,0,5
Android_2k_cleaned.csv,193,0,23
Android_2k_cleaned.csv,194,0,-1
Android_2k_cleaned.csv,195,0,-1
Android_2k_cleaned.csv,196,0,15
Android_2k_cleaned.csv,197,0,-1
Android_2k_cleaned.csv,198,0,-1
Android_2k_cleaned.csv,199,0,-1
Android_2k_cleaned.csv,200,0,-1
Android_2k_cleaned.csv,201,0,-1
Android_2k_cleaned.csv,202,0,-1
Android_2k_cleaned.csv,203,0,-1
Android_2k_cleaned.csv,204,0,-1
Android_2k_cleaned.csv,205,0,-1
Android_2k_cleaned.csv,206,0,-1
Android_2k_cleaned.csv,207,0,22
Android_2k_cleaned.csv,208,0,10
